Allele,Accuracy,AUC,Sensitivity,Specificity
HLA-A01:01,0.655185,0.841828,0.881497,0.316891
HLA-A02:01,0.568419,0.922841,0.993956,0.476531
HLA-A02:02,0.588201,0.855200,0.995590,0.565435
HLA-A02:03,0.573121,0.914223,0.994709,0.495824
HLA-A02:05,0.916667,0.967655,1.000000,0.913793
HLA-A02:06,0.522451,0.812197,0.987918,0.513279
HLA-A02:07,0.333333,0.821429,1.000000,0.280000
HLA-A02:11,0.662937,0.925794,0.957895,0.438554
HLA-A02:12,0.553191,0.952527,0.986842,0.274223
HLA-A02:16,0.640728,0.943701,0.965116,0.279461
HLA-A02:17,0.537500,0.612194,1.000000,0.537500
HLA-A02:19,0.589008,0.962981,1.000000,0.221719
HLA-A02:50,0.928571,0.979075,1.000000,0.906250
HLA-A03:01,0.336826,0.898460,1.000000,0.300894
HLA-A03:02,0.486486,0.627976,0.875000,0.451613
HLA-A03:19,0.448276,0.817308,1.000000,0.448276
HLA-A11:01,0.587278,0.924316,0.996787,0.476209
HLA-A11:02,0.857143,0.878788,0.909091,0.909091
HLA-A23:01,0.503609,0.871118,0.981424,0.340860
HLA-A24:02,0.522788,0.839676,0.994269,0.394767
HLA-A24:03,0.390501,0.852839,1.000000,0.292857
HLA-A25:01,0.325817,0.928113,1.000000,0.093939
HLA-A26:01,0.237294,0.887295,1.000000,0.134069
HLA-A26:02,0.757732,0.903871,0.908163,0.511494
HLA-A26:03,0.546125,0.854724,0.969697,0.207792
HLA-A29:02,0.594313,0.752591,0.881481,0.399329
HLA-A30:01,0.515455,0.540971,0.778409,0.496977
